TC ID,Module,Risk Level,Test Scenario,Pre-Condition,Test Steps,Test Data,Expected Result,Priority
SCRUM_CUST_VIEW_EDIT_TC_011,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc Customer Name,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường Customer Name.
2. Click nút ""Save"".","Nhập Customer Name: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi dưới trường Customer Name: ""Customer Name is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_012,Field Validation,High,Kiểm tra an toàn bảo mật (XSS Injection) trên trường Customer Name,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập mã độc XSS vào trường Customer Name.
2. Click nút ""Save"".",Nhập: `<script>alert('XSS')</script>`,"1. Hệ thống escape chuỗi đầu vào an toàn.
2. Dữ liệu được lưu dưới dạng chuỗi văn bản thường.
3. Không có popup alert nào hiển thị khi quay về View Mode.",High
SCRUM_CUST_VIEW_EDIT_TC_013,Field Validation,High,Kiểm tra an toàn bảo mật (SQL Injection) trên trường Customer Name,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập chuỗi SQL Injection vào trường Customer Name.
2. Click nút ""Save"".",Nhập: `' OR 1=1--`,"1. Hệ thống xử lý chuỗi nhập vào như một chuỗi văn bản thông thường.
2. Không gây crash hay lỗi hệ thống cơ sở dữ liệu.",High
SCRUM_CUST_VIEW_EDIT_TC_014,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc Primary Contact,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường Primary Contact.
2. Click nút ""Save"".","Nhập Primary Contact: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi dưới trường Primary Contact: ""Primary Contact is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_015,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc Phone,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường Phone.
2. Click nút ""Save"".","Nhập Phone: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi dưới trường Phone: ""Phone number is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_016,Field Validation,High,Kiểm tra validation trường Phone chứa ký tự chữ cái,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập số điện thoại chứa chữ cái vào trường Phone.
2. Quan sát giá trị lưu trữ hoặc click ""Save"".","Nhập Phone: ""0912abc345""","1. Hệ thống tự động loại bỏ chữ cái hoặc hiển thị lỗi: ""Phone number must contain numbers only"".",High
SCRUM_CUST_VIEW_EDIT_TC_017,Field Validation,Medium,Kiểm tra validation trường Phone quá ngắn (dưới 8 chữ số),Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập 7 chữ số vào trường Phone.
2. Click nút ""Save"".","Nhập Phone: ""0123456""","1. Hệ thống chặn lưu và hiển thị thông báo lỗi dưới trường Phone: ""Phone number must be at least 8 digits"".",High
SCRUM_CUST_VIEW_EDIT_TC_018,Field Validation,Medium,Kiểm tra validation trường Phone quá dài (trên 15 chữ số),Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập 16 chữ số vào trường Phone.
2. Click nút ""Save"".","Nhập Phone: ""1234567890123456""","1. Hệ thống chặn lưu và hiển thị thông báo lỗi dưới trường Phone: ""Phone number cannot exceed 15 digits"".",High
SCRUM_CUST_VIEW_EDIT_TC_019,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc Email,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường Email.
2. Click nút ""Save"".","Nhập Email: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi dưới trường Email: ""Email is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_020,Field Validation,High,Kiểm tra validation trường Email sai định dạng,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Nhập chuỗi email thiếu kí tự @ và domain.
2. Click nút ""Save"".","Nhập Email: ""contact_acmegroup.com""","1. Hệ thống chặn lưu và hiển thị lỗi: ""Invalid email format"".",High
SCRUM_CUST_VIEW_EDIT_TC_021,Field Validation,High,Kiểm tra validation trường Email đã tồn tại (Unique check),"Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng. Hệ thống có sẵn khách hàng khác sử dụng email ""existing@customer.com"".","1. Nhập email trùng lặp vào trường Email.
2. Click nút ""Save"".","Nhập Email: ""existing@customer.com""","1. Hệ thống chặn lưu.
2. Hiển thị thông báo lỗi: ""Email already exists in the system"".",High
SCRUM_CUST_VIEW_EDIT_TC_022,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc Service Location,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường Service Location.
2. Click nút ""Save"".","Nhập Service Location: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi: ""Service Location is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_023,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc City,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường City.
2. Click nút ""Save"".","Nhập City: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi: ""City is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_024,Field Validation,High,Kiểm tra validation bỏ trống trường bắt buộc State,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Xóa toàn bộ nội dung trong trường State.
2. Click nút ""Save"".","Nhập State: """" (rỗng)","1. Hệ thống không cho phép lưu.
2. Hiển thị thông báo lỗi: ""State is required"".",Critical
SCRUM_CUST_VIEW_EDIT_TC_025,State Transition,Medium,Kiểm tra cập nhật trường Status từ Active sang Inactive và ngược lại,Đang ở chế độ chỉnh sửa (Inline Editing) của khách hàng.,"1. Chọn trạng thái trong dropdown Status: ""Inactive"".
2. Click nút ""Save"".
3. Click Pencil icon lần nữa.
4. Chọn trạng thái trong dropdown Status: ""Active"".
5. Click nút ""Save"".","Dropdown Status: ""Inactive"" / ""Active""","1. Bước 2: Dữ liệu được lưu thành công, trạng thái khách hàng chuyển thành ""Inactive"" hiển thị tĩnh trên màn hình View Mode.
2. Bước 5: Dữ liệu lưu thành công, trạng thái quay lại là ""Active"".",High
SCRUM_CUST_VIEW_EDIT_TC_026,Detail Display,Low,Kiểm tra hiển thị dấu ba chấm (...) và tooltip cho các trường thông tin có độ dài cực lớn,Hệ thống có sẵn khách hàng có thông tin rất dài.,"1. Mở trang View Mode của khách hàng này.
2. Hover chuột vào trường Service Location bị cắt ngắn.","Service Location: ""123 Main Street Suite 450 Floor 10 Room 12B, Central Business District Phase 2, Da Nang City, Vietnam""","1. Văn bản quá dài được hiển thị dưới dạng cắt ngắn và kết thúc bằng dấu ba chấm ""..."".
2. Hover chuột hiển thị tooltip chứa đầy đủ văn bản của Service Location.",Medium
